Date,RF,Mkt,AAPL,BA,MSFT,TSLA
2017-04-30,0.0005,0.0114,0.027970645493242463,-0.039475632667818616,0.009393315248386491,0.19398441393659827
2017-05-31,0.0006,0.0112,0.02004150186315279,0.032493377398412626,0.05888661209297208,0.08143513739817365
2017-06-30,0.0006,0.008400000000000001,0.04933995056809648,0.034892547782957806,0.015729506743185295,0.054331931708141434
2017-07-31,0.0007000000000000001,0.0194,-0.06319338446587641,0.060164233041860804,-0.027532187562527843,0.035990314476898266
2017-08-31,0.0009,0.0025,0.04564440495953148,0.2057002781088857,0.06469137327161034,-0.09372696409519887
2017-09-30,0.0009,0.026,0.09759575496211736,0.009703536199672236,0.024165592265881886,0.11211941361788513
2017-10-31,0.0009,0.0234,-0.06241992017988507,0.06516047211874043,0.009061385788778686,-0.039026477261335124
2017-11-30,0.0008,0.032,0.08503975023637089,0.009804837692995338,0.1148640332687183,-0.05987755618114321
2017-12-31,0.0009,0.0115,0.028611116047648766,0.055469802458866235,0.018071275798563935,-0.045315863760140296
2018-01-31,0.0011,0.0569,0.007074039125328335,0.09381660370572376,0.020056869797677734,0.045672577935411685
2018-02-28,0.0011,-0.0354,-0.026007162244582993,0.20246588290934442,0.09668416596865659,0.0896015258312346
2018-03-31,0.0012,-0.0223,0.04728515345505113,-0.015475306249020382,-0.010331642992509105,-0.052455283391326546
2018-04-30,0.0014000000000000002,0.0043,-0.04754283328761988,-0.077926288617848,-0.046634256583294564,-0.2370591867719346
2018-05-31,0.0014000000000000002,0.0279,0.01451875466808561,0.022019610519201427,0.07320383343056691,0.1878961319908261
2018-06-30,0.0014000000000000002,0.0062,0.12935285281527586,0.08787868063283266,0.06554603140013504,-0.027007247186959682
2018-07-31,0.0016,0.033499999999999995,-0.016084868470598757,-0.05786060134749382,-0.007738799693630338,0.14820782950229594
2018-08-31,0.0016,0.036,0.07650373485706852,0.049631139985663264,0.06269363694059438,-0.10215776819204847
2018-09-30,0.0015,0.0021,0.13727512023383648,-0.013604542727389202,0.055136356109250384,-0.039522642949707976
2018-10-31,0.0019,-0.0749,-0.004817032704534374,0.10408663365930648,0.03491190389389054,0.07527251090512288
2018-11-30,0.0018,0.018699999999999998,-0.02217719518283412,-0.050276002471695946,-0.083816353502838,0.1080785884122093
2018-12-31,0.0019,-0.0936,-0.1653998420126298,-0.003987498624775765,0.06282322491345127,0.041274473152301816
2019-01-31,0.0021,0.08620000000000001,-0.14554705663056655,-0.1004277950663488,-0.09786780225884095,-0.1349270558440453
2019-02-28,0.0018,0.035800000000000005,0.05445813337596084,0.1964731749136519,0.016416222807466907,0.0067393765961329954
2019-03-31,0.0019,0.012900000000000002,0.055251242667404554,0.14300280261274545,0.09953856356168278,-0.05579579585450267
2019-04-30,0.0021,0.0418,0.09298724920203405,-0.1113884540998733,0.057673520980457305,-0.019030524177628627
2019-05-31,0.0021,-0.0673,0.10081559462216094,-0.037646240048972435,0.07444128046698961,-0.19078084024124486
2019-06-30,0.0018,0.0711,-0.1736301391022087,-0.09544330527375777,-0.0594027046477168,-0.23520362074301426
2019-07-31,0.0019,0.0138,0.1630122832682357,0.05184560575581054,0.13217634787815058,0.2693188728514484
2019-08-31,0.0016,-0.0242,0.034135354360744774,-0.062194795718678475,0.017541429661202423,0.029405344136353095
2019-09-30,0.0018,0.0161,-0.009348212100322661,0.06683295979807635,-0.011350241644148329,-0.03780204274304222
2019-10-31,0.0015,0.0222,0.09183266134062351,0.05789738126878441,0.007571486938667826,0.08746279987698569
2019-11-30,0.0012,0.0399,0.13905335912477135,-0.07934605267264827,0.04851530379168567,0.28043645225513236
2019-12-31,0.0014000000000000002,0.0291,0.03570136748431052,0.03494528648103912,0.044105725285011,0.06881364081515517
2020-01-31,0.0013,0.0002999999999999999,0.13700030803733254,-0.061546269731061365,0.07402204776390353,0.2848568580026283
2020-02-29,0.0012,-0.0801,0.027667607112421333,-0.05196207643841244,0.0856680393669087,0.8128573009257551
2020-03-31,0.0012,-0.1326,-0.029614750741752682,-0.07914221137821209,-0.006411628249229806,-0.04664103190104163
2020-04-30,0.0,0.1365,-0.19376839471799623,-0.5481729805643099,-0.1196827188333982,-0.35241119730257475
2020-05-31,0.0001,0.055900000000000005,0.19990861851575592,0.020428448594399296,0.1476561770521132,0.456350327310163
2020-06-30,0.0001,0.0247,0.1164121730965102,0.1351128809491775,0.05023302871998747,0.2805850783184525
2020-07-31,0.0001,0.0578,0.13130319839096427,0.19109589834999663,0.11961934990526646,0.24666518739716747
2020-08-31,0.0001,0.0764,0.19675391419073684,-0.10009983539598888,0.057840812157655686,0.3263310504364707
2020-09-30,0.0001,-0.036199999999999996,0.2339359806956478,0.06057805861981458,0.052089176896413125,0.5994949083938341
2020-10-31,0.0001,-0.020900000000000002,-0.12960190791691184,-0.02463687009176374,-0.06516472914354554,-0.056604535989543625
2020-11-30,0.0001,0.12480000000000001,-0.0686703744628947,-0.11473843939476436,-0.04767963009301157,-0.10632361992840866
2020-12-31,0.0001,0.046400000000000004,0.13019883206187433,0.4334453954090145,0.07139848452145148,0.4600384397579014
2021-01-31,0.0,-0.0003,0.05451439814423664,-0.04830756091964772,0.006845087107685943,0.24798209067638832
2021-02-28,0.0,0.0278,0.036550620224331976,-0.03393846113547605,0.10087737968211763,0.1507872001894861
2021-03-31,0.0,0.0308,-0.0459150907286483,0.1457822895507992,-0.009030942339535719,-0.14453269815276737
2021-04-30,0.0,0.0493,-0.037483406130951136,0.12732299746838338,0.02283277560423258,-0.07889424613896967
